"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
405151;2022-01-01;"sábado";"01:35:00";"PI";316;415;"MARCOLANDIA";"Ingestão de álcool pelo condutor";"Colisão traseira";NA;"Plena Noite";"Decrescente";"Nublado";"Simples";"Reta";"Sim";3;0;1;0;1;1;1;3;-7,43280012;-40,68261908;"SPRF-PI";"DEL04-PI";"UOP03-DEL04-PI"
405158;2022-01-01;"sábado";"02:40:00";"PR";116;33;"CAMPINA GRANDE DO SUL";"Ingestão de álcool pelo condutor";"Tombamento";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Curva";"Não";3;1;1;0;0;1;1;2;-25,114403;-48,8467554;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
405172;2022-01-01;"sábado";"05:22:00";"MS";163;393;"NOVA ALVORADA DO SUL";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Amanhecer";"Decrescente";"Céu Claro";"Simples";"Aclive";"Não";3;0;1;0;1;1;1;3;-21,228445;-54,456296;"SPRF-MS";"DEL02-MS";"UOP01-DEL02-MS"
405203;2022-01-01;"sábado";"07:00:00";"RJ";101;457;"ANGRA DOS REIS";"Reação tardia ou ineficiente do condutor";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva";"Sim";2;0;0;1;1;0;1;2;-23,03149804;-44,17715297;"SPRF-RJ";"DEL03-RJ";"UOP03-DEL03-RJ"
405207;2022-01-01;"sábado";"09:00:00";"MG";40;508,3;"RIBEIRAO DAS NEVES";"Acumulo de água sobre o pavimento";"Saída de leito carroçável";"Sem Vítimas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";3;0;0;0;3;0;0;1;-19,76061249;-44,1347544;"SPRF-MG";"DEL02-MG";"UOP01-DEL02-MG"
405213;2022-01-01;"sábado";"09:00:00";"PB";116;8,7;"CACHOEIRA DOS INDIOS";"Mal súbito do condutor";"Colisão com objeto";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;0;0;2;1;0;2;-6,964668;-38,727608;"SPRF-CE";"DEL05-CE";"UOP03-DEL05-CE"
405221;2022-01-01;"sábado";"10:20:00";"MG";40;452,2;"CAETANOPOLIS";"Chuva";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Declive";"Não";4;0;1;0;2;1;1;3;-19,33382121;-44,36107939;"SPRF-MG";"DEL02-MG";"UOP01-DEL02-MG"
405234;2022-01-01;"sábado";"08:05:00";"SC";163;80,1;"GUARACIABA";"Ausência de reação do condutor";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive;Curva";"Não";4;1;1;1;0;1;2;3;-26,65043908;-53,5185463;"SPRF-SC";"DEL07-SC";"UOP03-DEL07-SC"
405247;2022-01-01;"sábado";"12:20:00";"SC";101;139,7;"BALNEARIO CAMBORIU";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Aclive";"Não";5;0;1;0;3;1;1;4;-27,02982303;-48,60115006;"SPRF-SC";"DEL04-SC";"UOP03-DEL04-SC"
405254;2022-01-01;"sábado";"14:15:00";"CE";116;415,4;"IPAUMIRIM";"Manobra de mudança de faixa";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta";"Não";3;1;0;0;1;3;0;5;-6,741404;-38,792746;"SPRF-CE";"DEL05-CE";"UOP01-DEL05-CE"
405256;2022-01-01;"sábado";"09:50:00";"MT";70;0;"PONTAL DO ARAGUAIA";"Reação tardia ou ineficiente do condutor";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Interseção de Vias;Reta;Ponte";"Sim";7;0;2;0;4;1;2;6;-15,9106;-52,2614;"SPRF-MT";"DEL07-MT";"UOP01-DEL07-MT"
405271;2022-01-01;"sábado";"14:00:00";"PE";423;177;"AGUAS BELAS";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";6;0;1;0;3;3;1;5;-9,13016345;-37,11460498;"SPRF-AL";"DEL03-AL";"UOP02-DEL03-AL"
405273;2022-01-01;"sábado";"15:25:00";"MT";364;446;"VARZEA GRANDE";"Ingestão de álcool pelo condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";2;0;1;0;0;3;1;4;-15,61443692;-56,20471037;"SPRF-MT";"DEL01-MT";"UOP02-DEL01-MT"
405278;2022-01-01;"sábado";"17:00:00";"BA";101;96;"ALAGOINHAS";"Ausência de reação do condutor";"Colisão lateral sentido oposto";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Curva";"Não";2;0;0;0;1;1;0;2;-12,11006784;-38,38454512;"SPRF-BA";"DEL01-BA";"UOP04-DEL01-BA"
405298;2022-01-01;"sábado";"18:45:00";"MG";365;101;"JEQUITAI";"Pista Escorregadia";"Colisão com objeto";"Com Vítimas Feridas";"Anoitecer";"Decrescente";"Garoa/Chuvisco";"Simples";"Curva";"Não";2;0;0;1;0;1;1;2;-17,22428188;-44,53423396;"SPRF-MG";"DEL12-MG";"UOP01-DEL12-MG"
405300;2022-01-01;"sábado";"18:30:00";"GO";60;291;"ACREUNA";"Ausência de reação do condutor";"Saída de leito carroçável";"Sem Vítimas";"Anoitecer";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";1;0;0;0;0;1;0;1;-17,3057;-50,2783;"SPRF-GO";"DEL04-GO";"UOP01-DEL04-GO"
405309;2022-01-01;"sábado";"21:00:00";"SP";116;147;"SAO JOSE DOS CAMPOS";"Manobra de mudança de faixa";"Colisão transversal";"Com Vítimas Feridas";"Plena Noite";"Crescente";"Nublado";"Múltipla";"Reta";"Sim";4;0;1;0;2;1;1;3;-23,19542994;-45,87176303;"SPRF-SP";"DEL02-SP";"UOP01-DEL02-SP"
405338;2022-01-02;"domingo";"00:00:00";"BA";101;177;"SAO GONCALO DOS CAMPOS";"Ausência de sinalização";"Colisão frontal";"Com Vítimas Feridas";"Plena Noite";"Decrescente";"Céu Claro";"Simples";"Reta";"Não";4;0;1;0;1;3;1;5;-12,519078;-38,970829;"SPRF-BA";"DEL01-BA";"UOP03-DEL01-BA"
405368;2022-01-02;"domingo";"08:46:00";"MT";364;350;"SANTO ANTONIO DO LEVERGER";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Curva";"Não";2;0;0;1;0;1;1;2;-15,79356276;-55,58572076;"SPRF-MT";"DEL05-MT";"UOP02-DEL05-MT"
405382;2022-01-02;"domingo";"10:40:00";"MG";40;737,8;"SANTOS DUMONT";"Reação tardia ou ineficiente do condutor";"Colisão frontal";"Com Vítimas Fatais";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Simples";"Curva";"Não";16;1;9;1;4;4;10;9;-21,39150494;-43,56782913;"SPRF-MG";"DEL05-MG";"UOP01-DEL05-MG"
405384;2022-01-02;"domingo";"09:40:00";"BA";116;382,8;"SANTA BARBARA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Declive";"Não";1;0;1;0;0;0;1;1;-11,86763402;-38,97814273;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
405389;2022-01-02;"domingo";"08:10:00";"BA";116;441,9;"FEIRA DE SANTANA";"Velocidade Incompatível";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Ponte";"Não";2;0;1;0;0;1;1;2;-12,35321588;-39,0945505;"SPRF-BA";"DEL02-BA";"UOP01-DEL02-BA"
405395;2022-01-02;"domingo";"07:10:00";"PR";116;8,4;"CAMPINA GRANDE DO SUL";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Curva";"Não";3;0;2;0;0;1;2;2;-25,08123277;-48,62449108;"SPRF-PR";"DEL01-PR";"UOP02-DEL01-PR"
405408;2022-01-02;"domingo";"08:20:00";"SC";470;204,1;"PONTE ALTA";"Velocidade Incompatível";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Curva";"Não";4;0;3;0;1;0;3;2;-27,289373;-50,166328;"SPRF-SC";"DEL05-SC";"UOP03-DEL05-SC"
405416;2022-01-02;"domingo";"10:30:00";"SC";470;289,7;"CAMPOS NOVOS";"Acessar a via sem observar a presença dos outros veículos";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Interseção de Vias";"Não";6;0;1;0;4;1;1;3;-27,3354991;-50,96000791;"SPRF-SC";"DEL07-SC";"UOP06-DEL07-SC"
405421;2022-01-02;"domingo";"14:00:00";"MG";116;700,5;"MURIAE";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Curva;Declive";"Não";2;0;1;0;0;1;1;2;-21,09077508;-42,37304541;"SPRF-MG";"DEL07-MG";"UOP02-DEL07-MG"
405424;2022-01-02;"domingo";"13:50:00";"SC";101;101,8;"BALNEARIO PICARRAS";"Ingestão de álcool pelo condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Múltipla";"Aclive";"Não";4;0;1;1;2;0;2;2;-26,77383397;-48,68594062;"SPRF-SC";"DEL03-SC";"UOP02-DEL03-SC"
405433;2022-01-02;"domingo";"10:00:00";"GO";60;310;"ACREUNA";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Não";7;0;1;4;1;1;5;3;-17,413;-50,4108;"SPRF-GO";"DEL04-GO";"UOP01-DEL04-GO"
405442;2022-01-02;"domingo";"12:00:00";"SC";116;54;"PAPANDUVA";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Rotatória";"Sim";4;0;2;0;1;1;2;2;-26,39448417;-50,16480003;"SPRF-SC";"DEL06-SC";"UOP02-DEL06-SC"
405460;2022-01-02;"domingo";"16:00:00";"DF";60;15,1;"BRASILIA";"Chuva";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Reta";"Sim";4;0;1;0;2;1;1;3;-15,943619;-48,172115;"SPRF-DF";"DEL03-DF";"UOP01-DEL03-DF"
405466;2022-01-02;"domingo";"16:40:00";"MG";381;867,3;"POUSO ALEGRE";"Condutor Dormindo";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-22,411919;-45,96177005;"SPRF-MG";"DEL16-MG";"UOP01-DEL16-MG"
